Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
1284,Four Divisors,Medium,"Minimum Moves to Equal Array Elements,Beautiful Arrangement II,Escape The Ghosts,Find Palindrome With Fixed Length,Reverse Integer","Array,Math"
1285,Balance a Binary Search Tree,Medium,"Convert Sorted Array to Binary Search Tree,Convert Sorted List to Binary Search Tree,Validate Binary Search Tree,Kth Smallest Element in a BST,Inorder Successor in BST","Divide and Conquer,Greedy,Tree,Depth-First Search,Binary Search Tree,Binary Tree"
1286,Constrained Subsequence Sum,Hard,"Jump Game VI,Sliding Window Maximum,Max Value of Equation,Minimum Difference in Sums After Removal of Elements,Sliding Window Median","Array,Dynamic Programming,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue"
1287,Distance Between Bus Stops,Easy,"Missing Ranges,Summary Ranges,Max Consecutive Ones,Longest Continuous Increasing Subsequence,1-bit and 2-bit Characters",Array
1288,Maximum Subarray Sum with One Deletion,Medium,"Maximum Product Subarray,House Robber,House Robber II,Paint House,Best Time to Buy and Sell Stock with Cooldown","Array,Dynamic Programming"
1289,Day of the Week,Easy,"Palindrome Number,Ugly Number,Perfect Number,Self Dividing Numbers,Confusing Number",Math
1290,Make Array Strictly Increasing,Hard,"Maximum Number of Events That Can Be Attended II,Russian Doll Envelopes,Maximum Profit in Job Scheduling,Split Array Largest Sum,Minimum Number of Removals to Make Mountain Array","Array,Binary Search,Dynamic Programming"
1291,Immediate Food Delivery I,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1292,Immediate Food Delivery II,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1293,Three Consecutive Odds,Easy,"Missing Ranges,Summary Ranges,Max Consecutive Ones,Longest Continuous Increasing Subsequence,1-bit and 2-bit Characters",Array
1294,Range Frequency Queries,Medium,"Online Election,Range Sum Query - Mutable,Time Based Key-Value Store,Design Hit Counter,Range Sum Query 2D - Mutable","Array,Hash Table,Binary Search,Design,Segment Tree"
1295,Minimum Garden Perimeter to Collect Enough Apples,Medium,"Sqrt(x),Valid Perfect Square,Preimage Size of Factorial Zeroes Function,Search in Rotated Sorted Array,Find First and Last Position of Element in Sorted Array","Math,Binary Search"
1296,Kth Ancestor of a Tree Node,Hard,"Encode N-ary Tree to Binary Tree,Serialize and Deserialize Binary Tree,Serialize and Deserialize N-ary Tree,Serialize and Deserialize BST,Tree Diameter","Binary Search,Dynamic Programming,Tree,Depth-First Search,Breadth-First Search,Design"
1297,Maximum Number of Balloons,Easy,"Ransom Note,Check if One String Swap Can Make Strings Equal,Check if All Characters Have Equal Number of Occurrences,Kth Distinct String in an Array,Count Common Words With One Occurrence","Hash Table,String,Counting"
1298,Reverse Substrings Between Each Pair of Parentheses,Medium,"Check If Word Is Valid After Substitutions,Maximum Nesting Depth of Two Valid Parentheses Strings,Remove All Adjacent Duplicates in String II,Minimum Remove to Make Valid Parentheses,Count Collisions on a Road","String,Stack"
1299,K-Concatenation Maximum Sum,Medium,"Maximum Product Subarray,House Robber,House Robber II,Paint House,Best Time to Buy and Sell Stock with Cooldown","Array,Dynamic Programming"
1300,Critical Connections in a Network,Hard,"The Maze,Keys and Rooms,Sum of Distances in Tree,Find if Path Exists in Graph,Clone Graph","Depth-First Search,Graph,Biconnected Component"
1301,Reformat Department Table,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1302,Delete Characters to Make Fancy String,Easy,"Flip Game,Detect Capital,Longest Uncommon Subsequence I,Student Attendance Record I,To Lower Case",String
1303,Minimum Moves to Reach Target Score,Medium,"Number of Steps to Reduce a Number to Zero,Number of Steps to Reduce a Number in Binary Representation to One","Math,Greedy"
1304,Longest Happy String,Medium,Reorganize String,"String,Greedy,Heap (Priority Queue)"
1305,Number of Visible People in a Queue,Hard,"Buildings With an Ocean View,Sum of Subarray Ranges","Array,Stack,Monotonic Stack"
1306,Minimum Absolute Difference,Easy,Minimum Cost of Buying Candies With Discount,"Array,Sorting"
1307,Ugly Number III,Medium,Ugly Number II,"Math,Binary Search,Number Theory"
1308,Smallest String With Swaps,Medium,"Minimize Hamming Distance After Swap Operations,Process Restricted Friend Requests,Largest Number After Digit Swaps by Parity","Hash Table,String,Depth-First Search,Breadth-First Search,Union Find"
1309,Sort Items by Groups Respecting Dependencies,Hard,"Alien Dictionary,Course Schedule,Course Schedule II,Minimum Height Trees,All Ancestors of a Node in a Directed Acyclic Graph","Depth-First Search,Breadth-First Search,Graph,Topological Sort"
1310,Watering Plants,Medium,Watering Plants II,Array
1311,Largest Magic Square,Medium,Magic Squares In Grid,"Array,Matrix,Prefix Sum"
1312,Count Artifacts That Can Be Extracted,Medium,Maximal Square,"Array,Hash Table,Simulation"
1313,Count Ways to Build Rooms in an Ant Colony,Hard,"Parallel Courses III,Number Of Ways To Reconstruct A Tree,Unique Paths,Parallel Courses,Sequence Reconstruction","Math,Dynamic Programming,Tree,Graph,Topological Sort,Combinatorics"
1316,Fizz Buzz Multithreaded,Medium,"Fizz Buzz,Print Zero Even Odd",Concurrency
1317,Monthly Transactions I,Medium,Monthly Transactions II,Database
1318,Tournament Winners,Hard,"Trips and Users,Median Employee Salary,Find Median Given Frequency of Numbers,Average Salary: Departments VS Company,Game Play Analysis V",Database
1319,Unique Number of Occurrences,Easy,"Two Sum,Find All Numbers Disappeared in an Array,Degree of an Array,Find the Difference of Two Arrays,Minimum Index Sum of Two Lists","Array,Hash Table"
1320,Remove All Adjacent Duplicates in String II,Medium,"Remove All Adjacent Duplicates In String,Replace Non-Coprime Numbers in Array","String,Stack"
1321,Get Equal Substrings Within Budget,Medium,"Maximize the Confusion of an Exam,Minimum Size Subarray Sum,Max Consecutive Ones III,Maximum Fruits Harvested After at Most K Steps,Minimum Operations to Reduce X to Zero","String,Binary Search,Sliding Window,Prefix Sum"
1322,Minimum Moves to Reach Target with Rotations,Hard,"Shortest Distance from All Buildings,Shortest Path in a Grid with Obstacles Elimination,Walls and Gates,Shortest Path to Get Food,Rotting Oranges","Array,Breadth-First Search,Matrix"
1324,Where Will the Ball Fall,Medium,"01 Matrix,As Far from Land as Possible,Spiral Matrix,Spiral Matrix II,Game of Life","Array,Dynamic Programming,Depth-First Search,Matrix,Simulation"
1325,Path with Maximum Probability,Medium,Number of Ways to Arrive at Destination,"Graph,Heap (Priority Queue),Shortest Path"
1326,Sum of Floored Pairs,Hard,"Plates Between Candles,Split Array with Equal Sum,Product of Array Except Self,Range Addition,Describe the Painting","Array,Math,Binary Search,Prefix Sum"
1327,Last Person to Fit in the Bus,Medium,"Running Total for Different Genders,The Number of Seniors and Juniors to Join the Company,The Number of Seniors and Juniors to Join the Company II",Database
1328,Monthly Transactions II,Medium,Monthly Transactions I,Database
1329,Minimum Cost to Move Chips to The Same Position,Easy,Minimum Number of Operations to Move All Balls to Each Box,"Array,Math,Greedy"
1330,Longest Arithmetic Subsequence of Given Difference,Medium,"Delete and Earn,Length of Longest Fibonacci Subsequence,Count Substrings That Differ by One Character,Maximum Product Subarray,House Robber","Array,Hash Table,Dynamic Programming"
1331,Path with Maximum Gold,Medium,"Word Search,Sudoku Solver,Combination Sum,Combination Sum II,Permutations","Array,Backtracking,Matrix"
1332,Count Vowels Permutation,Hard,"Student Attendance Record II,Non-negative Integers without Consecutive Ones,Number of Ways to Paint N × 3 Grid,Painting a Grid With Three Different Colors,Best Time to Buy and Sell Stock III",Dynamic Programming
1333,Sort the Jumbled Numbers,Medium,Map Sum Pairs,"Array,Sorting"
1335,Maximum Candies Allocated to K Children,Medium,"Koko Eating Bananas,Minimum Limit of Balls in a Bag,Minimum Speed to Arrive on Time,Maximum Number of Removable Characters,Minimized Maximum of Products Distributed to Any Store,Minimum Time to Complete Trips","Array,Binary Search"
1336,Maximum Product of the Length of Two Palindromic Substrings,Hard,Maximum Product of the Length of Two Palindromic Subsequences,"String,Rolling Hash,Hash Function"
1337,Design Skiplist,Hard,"Design HashSet,Design HashMap,Design Linked List","Linked List,Design"
1338,Queries Quality and Percentage,Easy,Percentage of Users Attended a Contest,Database
1339,Team Scores in Football Tournament,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1340,The Dining Philosophers,Medium,"Print FooBar Alternately,Print Zero Even Odd,Fizz Buzz Multithreaded,Print in Order,Web Crawler Multithreaded",Concurrency
1341,Split a String in Balanced Strings,Easy,"Minimum Time to Type Word Using Special Typewriter,Minimum Number of Operations to Convert Time,Longest Palindrome by Concatenating Two Letter Words,Ransom Note,Check if One String Swap Can Make Strings Equal","String,Greedy,Counting"
1342,Queens That Can Attack the King,Medium,"Spiral Matrix,Spiral Matrix II,Game of Life,Diagonal Traverse,Spiral Matrix III","Array,Matrix,Simulation"
1343,Dice Roll Simulation,Hard,Find Missing Observations,"Array,Dynamic Programming"
1344,Maximum Equal Frequency,Hard,"First Missing Positive,Grid Illumination,Maximum Size Subarray Sum Equals k,Find All Duplicates in an Array,4Sum II","Array,Hash Table"
1345,Perform String Shifts,Easy,"Excel Sheet Column Title,Excel Sheet Column Number,Greatest Common Divisor of Strings,Plus One,Range Addition II","Array,Math,String"
1346,Maximize the Topmost Element After K Moves,Medium,Gas Station,"Array,Greedy"
1347,Distance to a Cycle in Undirected Graph,Hard,Paths in Maze That Lead to Same Room,"Depth-First Search,Breadth-First Search,Union Find,Graph"
1349,Check If It Is a Straight Line,Easy,"Largest Triangle Area,Rectangle Overlap,Rectangle Area,Erect the Fence,Erect the Fence II","Array,Math,Geometry"
1350,Remove Sub-Folders from the Filesystem,Medium,"Replace Words,Longest Word in Dictionary,Palindrome Pairs,Word Squares,Number of Matching Subsequences","Array,String,Trie"
1351,Replace the Substring for Balanced String,Medium,"Longest Substring Of All Vowels in Order,Subarray Product Less Than K,Minimum Swaps to Group All 1's Together,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,K Radius Subarray Averages","String,Sliding Window"
1352,Maximum Profit in Job Scheduling,Hard,"Maximum Earnings From Taxi,Two Best Non-Overlapping Events","Array,Binary Search,Dynamic Programming,Sorting"
1354,Find Players With Zero or One Losses,Medium,Lowest Common Ancestor of a Binary Tree,"Array,Hash Table,Sorting,Counting"
1355,Minimum Deletions to Make Array Beautiful,Medium,"Minimum Deletions to Make Character Frequencies Unique,Minimum Operations to Make the Array Alternating","Array,Stack,Greedy"
1356,Minimum Number of Moves to Make Palindrome,Hard,Minimum Insertion Steps to Make a String Palindrome,"Two Pointers,String,Greedy,Binary Indexed Tree"
1357,Report Contiguous Dates,Hard,"Find the Start and End Number of Continuous Ranges,Find the Missing IDs",Database
1358,Find Positive Integer Solution for a Given Equation,Medium,"Sum of Square Numbers,Search in a Sorted Array of Unknown Size,Find the Index of the Large Integer,Find the Celebrity,First Bad Version","Math,Two Pointers,Binary Search,Interactive"
1359,Circular Permutation in Binary Representation,Medium,"Gray Code,Subsets,Subsets II,Count Number of Maximum Bitwise-OR Subsets,Generalized Abbreviation","Math,Backtracking,Bit Manipulation"
1360,Maximum Length of a Concatenated String with Unique Characters,Medium,"Generalized Abbreviation,Letter Case Permutation,Subsets,Subsets II,Count Number of Maximum Bitwise-OR Subsets","Array,String,Backtracking,Bit Manipulation"
1361,Tiling a Rectangle with the Fewest Squares,Hard,"Target Sum,Generate Parentheses,Palindrome Partitioning,N-Queens II,Student Attendance Record II","Dynamic Programming,Backtracking"
1362,Airplane Seat Assignment Probability,Medium,"Bulb Switcher,Game of Nim,Last Moment Before All Ants Fall Out of a Plank,Integer Break,2 Keys Keyboard","Math,Dynamic Programming,Brainteaser,Probability and Statistics"
1364,Tuple with Same Product,Medium,"Maximum Size Subarray Sum Equals k,Find All Duplicates in an Array,4Sum II,Brick Wall,Count Good Meals","Array,Hash Table"
1366,First Unique Number,Medium,"Moving Average from Data Stream,Design a File Sharing System,Design Front Middle Back Queue,Two Sum III - Data structure design,Stock Price Fluctuation ","Array,Hash Table,Design,Queue,Data Stream"
1367,Maximum Height by Stacking Cuboids ,Hard,The Number of Weak Characters in the Game,"Array,Dynamic Programming,Sorting"
1368,Web Crawler Multithreaded,Medium,Web Crawler,"Depth-First Search,Breadth-First Search,Concurrency"
1369,Minimum Swaps to Make Strings Equal,Medium,Determine if Two Strings Are Close,"Math,String,Greedy"
1370,Count Number of Nice Subarrays,Medium,"Maximum Erasure Value,Number of Unique Flavors After Sharing K Candies,Contains Duplicate II,Longest Substring Without Repeating Characters,Longest Substring with At Most Two Distinct Characters","Array,Hash Table,Math,Sliding Window"
1371,Minimum Remove to Make Valid Parentheses,Medium,"Minimum Number of Swaps to Make the String Balanced,Check if a Parentheses String Can Be Valid","String,Stack"
1372,Check If It Is a Good Array,Hard,"Count Array Pairs Divisible by K,Replace Non-Coprime Numbers in Array,Find Greatest Common Divisor of Array,Number of Different Subsequences GCDs,Ugly Number III","Array,Math,Number Theory"
1374,Leftmost Column with at Least a One,Medium,"Search in a Sorted Array of Unknown Size,Find the Index of the Large Integer,Find in Mountain Array,First Bad Version,Guess Number Higher or Lower","Array,Binary Search,Matrix,Interactive"
1375,Find Palindrome With Fixed Length,Medium,"Palindrome Number,Find the Closest Palindrome","Array,Math"
1377,Number of Comments per Post,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1378,Cells with Odd Values in a Matrix,Easy,"Count Operations to Obtain Zero,Count Integers With Even Digit Sum,Fizz Buzz,Add Strings,Find Missing Observations","Array,Math,Simulation"
1379,Reconstruct a 2-Row Binary Matrix,Medium,Find Valid Matrix Given Row and Column Sums,"Array,Greedy,Matrix"
1380,Number of Closed Islands,Medium,"Surrounded Regions,Number of Islands,Max Area of Island,Count Sub Islands,Last Day Where You Can Still Cross","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
1381,Maximum Score Words Formed by Letters,Hard,Maximum Good People Based on Statements,"Array,String,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask"
1383,Number of Single Divisor Triplets,Medium,Count Array Pairs Divisible by K,Math
1384,Maximum Font to Fit a Sentence in a Screen,Medium,"Search in a Sorted Array of Unknown Size,Find the Index of the Large Integer,Find in Mountain Array,First Bad Version,Guess Number Higher or Lower","Array,String,Binary Search,Interactive"
1385,Number of Ways to Build House of Cards,Medium,Champagne Tower,"Math,Dynamic Programming"
1386,Shift 2D Grid,Easy,"Reshape the Matrix,Convert 1D Array Into 2D Array,Spiral Matrix,Spiral Matrix II,Game of Life","Array,Matrix,Simulation"
1387,Find Elements in a Contaminated Binary Tree,Medium,"Binary Tree Vertical Order Traversal,Lowest Common Ancestor of Deepest Leaves,Clone Binary Tree With Random Pointer,Correct a Binary Tree,Find Distance in a Binary Tree","Hash Table,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree"
1388,Greatest Sum Divisible by Three,Medium,"Jump Game II,Jump Game,Best Time to Buy and Sell Stock II,Wiggle Subsequence,Best Time to Buy and Sell Stock with Transaction Fee","Array,Dynamic Programming,Greedy"
1389,Minimum Moves to Move a Box to Their Target Location,Hard,"Trapping Rain Water II,K Highest Ranked Items Within a Price Range,Swim in Rising Water,Path With Maximum Minimum Value,K-th Smallest Prime Fraction","Array,Breadth-First Search,Heap (Priority Queue),Matrix"
1390,Average Selling Price,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1391,Counting Elements,Easy,"Two Sum,Find All Numbers Disappeared in an Array,Degree of an Array,Find the Difference of Two Arrays,Minimum Index Sum of Two Lists","Array,Hash Table"
1392,Find the Difference of Two Arrays,Easy,"Intersection of Two Arrays,Intersection of Two Arrays II","Array,Hash Table"
1393,Maximum Value of K Coins From Piles,Hard,"Coin Change,Coin Change 2","Array,Dynamic Programming,Prefix Sum"
1395,Minimum Time Visiting All Points,Easy,"Largest Triangle Area,Rectangle Overlap,Rectangle Area,Erect the Fence,Erect the Fence II","Array,Math,Geometry"
1396,Count Servers that Communicate,Medium,"Surrounded Regions,Number of Islands,Max Area of Island,Count Sub Islands,Last Day Where You Can Still Cross","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix,Counting"
1397,Search Suggestions System,Medium,"Replace Words,Longest Word in Dictionary,Palindrome Pairs,Word Squares,Number of Matching Subsequences","Array,String,Trie"
1398,Number of Ways to Stay in the Same Place After Some Steps,Hard,"Student Attendance Record II,Non-negative Integers without Consecutive Ones,Number of Ways to Paint N × 3 Grid,Painting a Grid With Three Different Colors,Best Time to Buy and Sell Stock III",Dynamic Programming
1399,Page Recommendations,Medium,"Page Recommendations II,Strong Friendship",Database
1400,Find Winner on a Tic Tac Toe Game,Easy,"Reshape the Matrix,Convert 1D Array Into 2D Array,Check if Every Row and Column Contains All Numbers,Keep Multiplying Found Values by Two,Count Artifacts That Can Be Extracted","Array,Hash Table,Matrix,Simulation"
1401,Number of Burgers with No Waste of Ingredients,Medium,"Reverse Integer,Factorial Trailing Zeroes,Prime Palindrome,Convert to Base -2,Number of Single Divisor Triplets",Math
1402,Count Square Submatrices with All Ones,Medium,"Minimum Cost Homecoming of a Robot in a Grid,Count Fertile Pyramids in a Land","Array,Dynamic Programming,Matrix"
1403,Palindrome Partitioning III,Hard,Palindrome Partitioning IV,"String,Dynamic Programming"
1404,Print Immutable Linked List in Reverse,Medium,"Reorder List,Palindrome Linked List,Maximum Twin Sum of a Linked List,Remove Nth Node From End of List,Rotate List","Linked List,Two Pointers,Stack,Recursion"
1405,All People Report to the Given Manager,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1406,Subtract the Product and Sum of Digits of an Integer,Easy,"Palindrome Number,Ugly Number,Perfect Number,Self Dividing Numbers,Confusing Number",Math
1407,Group the People Given the Group Size They Belong To,Medium,"Maximum Size Subarray Sum Equals k,Find All Duplicates in an Array,4Sum II,Brick Wall,Count Good Meals","Array,Hash Table"
1408,Find the Smallest Divisor Given a Threshold,Medium,Minimized Maximum of Products Distributed to Any Store,"Array,Binary Search"
1409,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Hard,"Minimum Operations to Remove Adjacent Ones in Matrix,Remove All Ones With Row and Column Flips,Remove All Ones With Row and Column Flips II","Array,Bit Manipulation,Breadth-First Search,Matrix"
1410,Traffic Light Controlled Intersection,Easy,"Print in Order,Print FooBar Alternately,Print Zero Even Odd,Fizz Buzz Multithreaded,Web Crawler Multithreaded",Concurrency
1411,Convert Binary Number in a Linked List to Integer,Easy,"Plus One Linked List,Remove Duplicates from Sorted List,Delete Node in a Linked List,Delete N Nodes After M Nodes of a Linked List,Reverse Linked List II","Linked List,Math"
1413,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,"Matrix Block Sum,Largest Magic Square,Plates Between Candles,Range Sum Query 2D - Immutable,Product of Array Except Self","Array,Binary Search,Matrix,Prefix Sum"
1414,Shortest Path in a Grid with Obstacles Elimination,Hard,Shortest Path to Get Food,"Array,Breadth-First Search,Matrix"
1415,Students and Examinations,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1416,Check if an Array Is Consecutive,Easy,"Binary Tree Longest Consecutive Sequence,Binary Tree Longest Consecutive Sequence II,Consecutive Characters",Array
1420,Find the Start and End Number of Continuous Ranges,Medium,"Report Contiguous Dates,Find the Missing IDs",Database
1421,Find Numbers with Even Number of Digits,Easy,Finding 3-Digit Even Numbers,Array
1422,Divide Array in Sets of K Consecutive Numbers,Medium,"Split Array into Consecutive Subsequences,All Divisions With the Highest Score of a Binary Array","Array,Hash Table,Greedy,Sorting"
1423,Maximum Number of Occurrences of a Substring,Medium,"Longest Substring Without Repeating Characters,Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Longest Repeating Character Replacement,Find All Anagrams in a String","Hash Table,String,Sliding Window"
1424,Maximum Candies You Can Get from Boxes,Hard,"K-Similar Strings,Minimum Operations to Convert Number,Shortest Distance from All Buildings,Shortest Path in a Grid with Obstacles Elimination,Jump Game IV","Array,Breadth-First Search"
1425,Weather Type in Each Country,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1426,Find N Unique Integers Sum up to Zero,Easy,"Plus One,Range Addition II,Add to Array-Form of Integer,Sum of Digits in the Minimum Number,Palindrome Number","Array,Math"
1427,All Elements in Two Binary Search Trees,Medium,"Validate Binary Search Tree,Kth Smallest Element in a BST,Inorder Successor in BST,Count Nodes Equal to Sum of Descendants,Count Complete Tree Nodes","Tree,Depth-First Search,Binary Search Tree,Sorting,Binary Tree"
1428,Jump Game III,Medium,"Jump Game II,Jump Game,Jump Game VII","Array,Depth-First Search,Breadth-First Search"
1429,Verbal Arithmetic Puzzle,Hard,"Expression Add Operators,Confusing Number II,N-Queens,Find Unique Binary String,N-Queens II","Array,Math,String,Backtracking"
1431,All Ancestors of a Node in a Directed Acyclic Graph,Medium,Number of Restricted Paths From First to Last Node,"Depth-First Search,Breadth-First Search,Graph,Topological Sort"
1432,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
1433,Encrypt and Decrypt Strings,Hard,"Implement Trie (Prefix Tree),Word Search II,Implement Trie II (Prefix Tree)","Array,Hash Table,String,Design,Trie"
1434,Decrypt String from Alphabet to Integer Mapping,Easy,"Flip Game,Detect Capital,Longest Uncommon Subsequence I,Student Attendance Record I,To Lower Case",String
1435,XOR Queries of a Subarray,Medium,"Can Make Palindrome from Substring,Product of Array Except Self,Range Addition,Describe the Painting,Maximum Sum Score of Array","Array,Bit Manipulation,Prefix Sum"
1436,Get Watched Videos by Your Friends,Medium,"Minimum Genetic Mutation,Jump Game IV,Employee Importance,Smallest Common Region,Word Ladder","Array,Hash Table,Breadth-First Search,Sorting"
1437,Minimum Insertion Steps to Make a String Palindrome,Hard,Minimum Number of Moves to Make Palindrome,"String,Dynamic Programming"
1438,Find the Team Size,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1439,Running Total for Different Genders,Medium,Last Person to Fit in the Bus,Database
1440,Convert Integer to the Sum of Two No-Zero Integers,Easy,"Palindrome Number,Ugly Number,Perfect Number,Self Dividing Numbers,Confusing Number",Math
1441,Minimum Flips to Make a OR b Equal to c,Medium,Minimum Bit Flips to Convert Number,Bit Manipulation
1442,Number of Operations to Make Network Connected,Medium,"Graph Valid Tree,Number of Connected Components in an Undirected Graph,Number of Provinces,Redundant Connection,Redundant Connection II","Depth-First Search,Breadth-First Search,Union Find,Graph"
1443,Minimum Distance to Type a Word Using Two Fingers,Hard,Minimum Time to Type Word Using Special Typewriter,"String,Dynamic Programming"
1444,Number of Steps to Reduce a Number to Zero,Easy,"Minimum Moves to Reach Target Score,Count Operations to Obtain Zero","Math,Bit Manipulation"
1445,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Medium,K Radius Subarray Averages,"Array,Sliding Window"
1446,Angle Between Hands of a Clock,Medium,"Reverse Integer,Factorial Trailing Zeroes,Prime Palindrome,Convert to Base -2,Number of Single Divisor Triplets",Math
1447,Jump Game IV,Hard,Jump Game VII,"Array,Hash Table,Breadth-First Search"
1448,Maximum 69 Number,Easy,"Minimum Cost to Move Chips to The Same Position,Minimum Sum of Four Digit Number After Splitting Digits,Maximum Swap,Monotone Increasing Digits,Broken Calculator","Math,Greedy"
1449,Print Words Vertically,Medium,"Decode the Slanted Ciphertext,Execution of All Suffix Instructions Staying in a Grid,Pour Water,Walking Robot Simulation,Average Waiting Time","Array,String,Simulation"
1450,Delete Leaves With a Given Value,Medium,"Sum Root to Leaf Numbers,Binary Tree Upside Down,Lowest Common Ancestor of a Binary Tree,Count Univalue Subtrees,Binary Tree Longest Consecutive Sequence","Tree,Depth-First Search,Binary Tree"
1451,Minimum Number of Taps to Open to Water a Garden,Hard,"Jump Game II,Jump Game,Best Time to Buy and Sell Stock II,Wiggle Subsequence,Best Time to Buy and Sell Stock with Transaction Fee","Array,Dynamic Programming,Greedy"
1452,Restaurant Growth,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
1453,Ads Performance,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1454,Remove Palindromic Subsequences,Easy,"Valid Palindrome,Reverse Vowels of a String,Valid Word Abbreviation,Reverse String II,Reverse Words in a String III","Two Pointers,String"
1455,"Filter Restaurants by Vegan-Friendly, Price and Distance",Medium,"Merge Intervals,Sort the Jumbled Numbers,Arithmetic Subarrays,Minimum Moves to Equal Array Elements II,Wiggle Sort","Array,Sorting"
1456,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,Second Minimum Time to Reach Destination,"Dynamic Programming,Graph,Shortest Path"
1457,Minimum Difficulty of a Job Schedule,Hard,"Best Time to Buy and Sell Stock III,Best Time to Buy and Sell Stock IV,Paint House II,Burst Balloons,Frog Jump","Array,Dynamic Programming"
1458,Sort Integers by The Number of 1 Bits,Easy,Find Subsequence of Length K With the Largest Sum,"Array,Bit Manipulation,Sorting,Counting"
1459,Apply Discount Every n Orders,Medium,"Finding Pairs With a Certain Sum,Design Bitset,Unique Word Abbreviation,Design Underground System,Design Tic-Tac-Toe","Array,Hash Table,Design"
1460,Number of Substrings Containing All Three Characters,Medium,Vowels of All Substrings,"Hash Table,String,Sliding Window"
1461,Count All Valid Pickup and Delivery Options,Hard,"Unique Paths,Vowels of All Substrings,Find Triangular Sum of an Array,Digit Count in Range,Number of Ways to Divide a Long Corridor","Math,Dynamic Programming,Combinatorics"
1462,List the Products Ordered in a Period,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
1463,The K Weakest Rows in a Matrix,Easy,"Kth Smallest Element in a Sorted Matrix,Largest Number After Digit Swaps by Parity,K Highest Ranked Items Within a Price Range,Two Best Non-Overlapping Events,K-th Smallest Prime Fraction","Array,Binary Search,Sorting,Heap (Priority Queue),Matrix"
1464,Reduce Array Size to The Half,Medium,"Split Array into Consecutive Subsequences,Average Height of Buildings in Each Segment,Task Scheduler,Find Subsequence of Length K With the Largest Sum,Reorganize String","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue)"
1465,Maximum Product of Splitted Binary Tree,Medium,Count Nodes With the Highest Score,"Tree,Depth-First Search,Binary Tree"
1466,Jump Game V,Hard,Jump Game VII,"Array,Dynamic Programming,Sorting"
1467,Number of Transactions per Visit,Hard,Find the Missing IDs,Database
1468,Check If N and Its Double Exist,Easy,Keep Multiplying Found Values by Two,"Array,Hash Table,Two Pointers,Binary Search,Sorting"
1469,Minimum Number of Steps to Make Two Strings Anagram,Medium,"Determine if Two Strings Are Close,Minimum Number of Steps to Make Two Strings Anagram II","Hash Table,String,Counting"
1470,Tweet Counts Per Frequency,Medium,"Design Log Storage System,Data Stream as Disjoint Intervals,Exam Room,Design Most Recently Used Queue,Online Election","Hash Table,Binary Search,Design,Sorting,Ordered Set"
1471,Maximum Students Taking Exam,Hard,"Smallest Sufficient Team,Number of Ways to Wear Different Hats to Each Other,Minimum XOR Sum of Two Arrays,Maximum AND Sum of Array,Split Array With Same Average","Array,Dynamic Programming,Bit Manipulation,Matrix,Bitmask"
1472,Increasing Decreasing String,Easy,"Ransom Note,Check if One String Swap Can Make Strings Equal,Check if All Characters Have Equal Number of Occurrences,Kth Distinct String in an Array,Count Common Words With One Occurrence","Hash Table,String,Counting"
